	0	1	2	3
0	time	used by	billie	24
1	time	used by	olivia	186
2	time	used by	sabrina	86
3	time	used by	taylor	51
4	love	used by	billie	44
5	love	used by	olivia	258
6	love	used by	sabrina	56
7	love	used by	taylor	99
8	thing	used by	billie	57
9	thing	used by	olivia	249
10	thing	used by	sabrina	64
11	thing	used by	taylor	64
12	friend	used by	billie	28
13	friend	used by	olivia	107
14	friend	used by	sabrina	14
15	friend	used by	taylor	37
16	baby	used by	billie	3
17	baby	used by	olivia	81
18	baby	used by	sabrina	48
19	baby	used by	taylor	21
20	way	used by	billie	45
21	way	used by	olivia	198
22	way	used by	sabrina	33
23	way	used by	taylor	69
24	da	used by	billie	76
25	da	used by	olivia	244
26	da	used by	sabrina	21
27	da	used by	taylor	102
28	night	used by	billie	7
29	night	used by	olivia	113
30	night	used by	sabrina	31
31	night	used by	taylor	53
32	man	used by	billie	16
33	man	used by	olivia	88
34	man	used by	sabrina	25
35	man	used by	taylor	44
36	eye	used by	billie	22
37	eye	used by	olivia	65
38	eye	used by	sabrina	11
39	eye	used by	taylor	24
40	bed	used by	billie	0
41	bed	used by	olivia	58
42	bed	used by	sabrina	24
43	bed	used by	taylor	8
44	boy	used by	billie	15
45	boy	used by	olivia	59
46	boy	used by	sabrina	11
47	boy	used by	taylor	26
48	mind	used by	billie	14
49	mind	used by	olivia	65
50	mind	used by	sabrina	29
51	mind	used by	taylor	16
52	heart	used by	billie	14
53	heart	used by	olivia	59
54	heart	used by	sabrina	11
55	heart	used by	taylor	19
56	-	used by	billie	66
57	-	used by	olivia	298
58	-	used by	sabrina	76
59	-	used by	taylor	102
60	girl	used by	billie	8
61	girl	used by	olivia	43
62	girl	used by	sabrina	0
63	girl	used by	taylor	11
64	head	used by	billie	17
65	head	used by	olivia	59
66	head	used by	sabrina	7
67	head	used by	taylor	21
68	one	used by	billie	81
69	one	used by	olivia	364
70	one	used by	sabrina	81
71	one	used by	taylor	133
72	day	used by	billie	22
73	day	used by	olivia	91
74	day	used by	sabrina	8
75	day	used by	taylor	46
76	daylight	used by	billie	0
77	daylight	used by	olivia	15
78	daylight	used by	sabrina	1
79	daylight	used by	taylor	14
80	guy	used by	billie	16
81	guy	used by	olivia	37
82	guy	used by	sabrina	2
83	guy	used by	taylor	9
84	life	used by	billie	2
85	life	used by	olivia	38
86	life	used by	sabrina	5
87	life	used by	taylor	15
88	nothing	used by	billie	20
89	nothing	used by	olivia	55
90	nothing	used by	sabrina	22
91	nothing	used by	taylor	7
92	diamond	used by	billie	2
93	diamond	used by	olivia	31
94	diamond	used by	sabrina	27
95	diamond	used by	taylor	1
96	hand	used by	billie	3
97	hand	used by	olivia	47
98	hand	used by	sabrina	11
99	hand	used by	taylor	31
100	mine	used by	billie	12
101	mine	used by	olivia	45
102	mine	used by	sabrina	16
103	mine	used by	taylor	12
104	people	used by	billie	5
105	people	used by	olivia	25
106	people	used by	sabrina	0
107	people	used by	taylor	7
108	name	used by	billie	8
109	name	used by	olivia	29
110	name	used by	sabrina	4
111	name	used by	taylor	13
112	light	used by	billie	0
113	light	used by	olivia	48
114	light	used by	sabrina	10
115	light	used by	taylor	32
